provider,category,name,serving_size,calories,fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugar_g,protein_g,entities
Chick-Fil-A,Drinks,1% Milk,213,90.0,2.0,1.5,0.0,10,105,10,0,10,7,"['low-calorie','low-fat','low-sat-fat','low-cholesterol','low-sodium','low-carb','mid-sugar','fiber-free','mid-protein','Chick-Fil-A','Drinks','medium-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,Coffee,340,0.0,0.0,0.0,0.0,0,10,0,0,0,0,"['no-calories','fat-free','sat-fat-free','cholesterol-free','low-sodium','carb-free','sugar-free','fiber-free','protein-free','Chick-Fil-A','Drinks','large-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,Gallon Chick-fil-A® Lemonade,3884,2090.0,1.5,0.0,0.0,0,95,549,2,517,2,"['high-calorie','low-fat','sat-fat-free','cholesterol-free','low-sodium','high-carb','high-sugar','low-fiber','low-protein','Chick-Fil-A','Drinks','large-portion','Gluten-Free']"
Chick-Fil-A,Drinks,Gallon Chick-fil-A® Lemonade,3884,2090.0,1.5,0.0,0.0,0,95,549,2,517,2,"['high-calorie','low-fat','sat-fat-free','cholesterol-free','low-sodium','high-carb','high-sugar','low-fiber','low-protein','Chick-Fil-A','Drinks','large-portion','Gluten-Free']"
Chick-Fil-A,Drinks,Gallon Chick-fil-A® Diet Lemonade,3716,460.0,1.5,0.0,0.0,0,95,126,2,91,3,"['high-calorie','low-fat','sat-fat-free','cholesterol-free','low-sodium','high-carb','high-sugar','low-fiber','low-protein','Chick-Fil-A','Drinks','large-portion','Gluten-Free']"
Chick-Fil-A,Drinks,Gallon Chick-fil-A® Diet Lemonade,3716,460.0,1.5,0.0,0.0,0,95,126,2,91,3,"['high-calorie','low-fat','sat-fat-free','cholesterol-free','low-sodium','high-carb','high-sugar','low-fiber','low-protein','Chick-Fil-A','Drinks','large-portion','Gluten-Free']"
Chick-Fil-A,Drinks,"Gallon Chick-fil-A® Lemonade (1/2 Lemonade,1/2 Diet Lemonade)",3989,1390.0,0.5,0.0,0.0,0,40,389,1,350,1,"['high-calorie','high-fat','low-sat-fat','cholesterol-free','sodium-free','mid-carb','low-sugar','high-fiber','high-protein','Chick-Fil-A','Drinks','large-portion','Gluten-Free']"
Chick-Fil-A,Drinks,"Gallon Chick-fil-A® Lemonade (1/2 Lemonade,1/2 Diet Lemonade)",3989,1390.0,0.5,0.0,0.0,0,40,389,1,350,1,"['high-calorie','high-fat','low-sat-fat','cholesterol-free','sodium-free','mid-carb','low-sugar','high-fiber','high-protein','Chick-Fil-A','Drinks','large-portion','Gluten-Free']"
Chick-Fil-A,Drinks,Gallon Freshly-Brewed Iced Tea Sweetened,4167,1540.0,0.0,0.0,0.0,0,115,398,0,397,0,"['high-calorie','fat-free','sat-fat-free','cholesterol-free','low-sodium','high-carb','high-sugar','fiber-free','protein-free','Chick-Fil-A','Drinks','large-portion','Gluten-Free']"
Chick-Fil-A,Drinks,Gallon Freshly-Brewed Iced Tea Sweetened,4167,1540.0,0.0,0.0,0.0,0,115,398,0,397,0,"['high-calorie','fat-free','sat-fat-free','cholesterol-free','low-sodium','high-carb','high-sugar','fiber-free','protein-free','Chick-Fil-A','Drinks','large-portion','Gluten-Free']"
Chick-Fil-A,Drinks,Gallon Freshly-Brewed Iced Tea Unsweetened,3808,0.0,0.0,0.0,0.0,0,0,0,0,0,0,"['no-calories','fat-free','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','fiber-free','protein-free','Chick-Fil-A','Drinks','large-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,Gallon Freshly-Brewed Iced Tea Unsweetened,3808,0.0,0.0,0.0,0.0,0,0,0,0,0,0,"['no-calories','fat-free','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','fiber-free','protein-free','Chick-Fil-A','Drinks','large-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,"Gallon Chick-fil-A® Iced Tea (1/2 Sweet Tea,1/2 Unsweet Tea)",3904,790.0,0.0,0.0,0.0,0,0,205,0,205,0,"['high-calorie','high-fat','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','high-fiber','high-protein','Chick-Fil-A','Drinks','large-portion','Gluten-Free']"
